Epoca,Treinamento 1 EQM,Treinamento 2 EQM,Treinamento 3 EQM,Treinamento 4 EQM,Treinamento 5 EQM
70,0.0008477125157723369,0.000837694982038328,0.0008565635800971271,0.0009164561453415875,0.0008518715683524917
71,0.0008392729250871388,0.0008296904678306934,0.0008476712342166383,0.0009016286529506276,0.0008424076010434896
72,0.0008315440902478418,0.0008223998193723819,0.0008395205327146227,0.0008879438287542587,0.0008337333857486728
73,0.0008244735690598915,0.0008157672290335053,0.0008320563697313326,0.0008753249795958473,0.000825790824068702
74,0.0008180122761403968,0.0008097406837907702,0.0008252271923428448,0.0008636997042468494,0.000818525566471107
75,0.000812114312968717,0.000804271758894939,0.0008189848217099033,0.0008529997370820898,0.0008118868170276245
76,0.0008067368016387603,0.0007993154168086331,0.0008132842775087421,0.000843160787467761,0.0008058271431578149
77,0.0008018397228926943,0.0007948298121284689,0.0008080836063969378,0.0008341223764847402,0.0008003022909501098
78,0.0007973857589060199,0.0007907761030514666,0.0008033437151310849,0.0008258276724164354,0.0007952710065095728
79,0.0007933401411953849,0.0007871182698094845,0.0007990282088304676,0.0008182233262497561,0.0007906948636734739
80,0.0007896705039325424,0.0007838229403758194,0.0007951032347715408,0.0008112593082702289,0.0007865380983404084
81,0.0007863467428698401,0.00078085922364388,0.0007915373320009731,0.0008048887466778215,0.0007827674495751222
82,0.0007833408800139635,0.0007781985501877539,0.0007883012869695162,0.0007990677690087772,0.0007793520075784751
83,0.0007806269341245596,0.0007758145206370928,0.0007853679953142335,0.0007937553470201568,0.0007762630685492622
84,0.000778180797062282,0.0007736827616331439,0.0007827123298517132,0.0007889131455774908,0.000773473996410885
85,0.0007759801159658869,0.0007717807892775139,0.0007803110147891181,0.0007845053759815053,0.0007709600913303519
86,0.000774004181199871,0.0007700878799393884,0.0007781425061122706,0.0007804986540764695,0.0007686984649189109
87,0.0007722338199818056,0.0007685849482494721,0.0007761868780699023,0.0007768618633998673,0.0007666679219720434
88,0.0007706512955717833,0.0007672544320787439,0.0007744257156396732,0.0007735660235599215,0.0007648488485808114
89,0.0007692402118843152,0.0007660801842764831,0.0007728420128341718,0.0007705841639633675,0.0007632231064260257
90,0.0007679854233653586,0.0007650473709240858,0.000771420076682937,0.0007678912029601298,0.0007617739330507338
91,0.0007668729499632617,0.0007641423758480833,0.0007701454367091287,0.0007654638324232589,0.0007604858478945667
92,0.0007658898970118919,,0.0007690047597061919,0.0007632804077412711,0.0007593445638650164
93,,,0.0007679857696101702,0.0007613208431649701,0.0007583369042152601
94,,,0.0007670771722567992,0.0007595665124214264,0.0007574507244952723
95,,,,0.0007580001544834418,
96,,,,0.0007566057843629852,
97,,,,0.0007553686087811779,
98,,,,0.0007542749465550712,
99,,,,0.0007533121535321697,
